calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
11819,11819,acc,Podostemaceae,Hydrobryum puncticulatum Koidz.,BK,62,endemic,BK,BK,BK,BK,BK,1,1,2,685.0063313,0,203.1581383,203.1581383,888.1644696,0,236.2470191,236.2470191,0.769177333,838.2893969,839.0585742,
11820,11820,acc,Podostemaceae,Hydrobryum japonicum Imamura,BK,61,endemic,BK,BK,BK,BK,BK,2,2,5,409.2764395,1784.247601,0.07923601,1784.326837,2193.603276,3705.145314,3.242111474,3708.387425,8430.954058,8.417493649,8439.371551,
11823,11823,acc,Podostemaceae,Cladopus japonicus Imamura,GN,60,,GN,GN,GN,GN,GN,5,3,5,260.3977967,1924.653894,2.40828288,1927.062177,2187.459973,8926.02454,7.10080454,8933.125345,14769.02137,988.4278713,15757.44924,
11824,11824,acc,Podostemaceae,Cladopus austrosatsumensis (Koidz.) Ohwi,BK,59,endemic,BK,BK,BK,BK,BK,1,1,1,216.3883152,223.5137476,0.04949203,223.5632396,439.9515548,721.5475196,0.898236403,722.445756,5609.900421,2.570850558,5612.471271,
11825,11825,acc,Podostemaceae,Cladopus doianus (Koidz.) Koriba,BK,539,endemic,BK,BK,BK,BK,BK,1,1,1,42.35718782,396.8311016,0,396.8311016,439.1882894,721.5475196,0.898236403,722.445756,5609.900421,2.570850558,5612.471271,
11856,11856,acc,Geraniaceae,Geranium nepalense Sweet,GN,638,,GN,GN,GN,GN,GN,232,82,814,84544.77036,246333.3336,6864.85791,253198.1915,337742.9619,331842.3911,8774.543407,340616.9345,349144.7603,9015.107247,358159.8676,
19541,19541,acc,Hydrocharitaceae,Enhalus acoroides (L.f.) Royle,GN,405,,GN,GN,GN,GN,GN,5,5,13,5025.173097,0,1030.878801,1030.878801,6056.051898,0,1782.357585,1782.357585,0,2109.041785,2109.041785,
21441,21441,acc,Cyperaceae,Cladium mariscus  subsp. mariscus,GN,418,,GN,GN,GN,GN,GN,88,45,155,41008.00714,20598.99745,5677.600165,26276.59761,67284.60475,69324.86063,8605.243849,77930.10448,131161.7514,9137.936458,140299.6878,infra
22561,22561,acc,Cyperaceae,Isolepis crassiuscula Hook. f.,GN,854,,GN,GN,GN,GN,GN,1,1,1,0,411.0589932,0,411.0589932,411.0589932,2461.006114,0,2461.006114,9670.752586,0.00508528,9670.757671,
23807,23807,acc,Cyperaceae,Gahnia tristis Nees,GN,419,,GN,GN,GN,GN,GN,14,9,23,8501.526964,0,2056.261182,2056.261182,10557.78815,0,2866.579384,2866.579384,0,2999.735511,2999.735511,
24187,24187,acc,Palmaceae,Livistona chinensis (Jacq.) R. Br. ex Mart.,GN,421,,GN,GN,GN,GN,GN,48,30,81,28446.78996,4618.567152,2991.507314,7610.074466,36056.86443,15620.90629,5520.233521,21141.13981,35849.69633,6343.619406,42193.31573,
24211,24211,acc,Palmaceae,Nypa fruticans Wurmb,GN,422,,GN,GN,GN,GN,GN,1,1,1,340.4960996,0,128.0819206,128.0819206,468.5780203,0,319.3422276,319.3422276,0,330.0325795,330.0325795,
24213,24213,acc,Palmaceae,Satakentia liukiuensis (Hatus.) H.E.Moore,BK,423,endemic,BK,BK,BK,BK,BK,2,2,2,631.2556806,0,305.2980341,305.2980341,936.5537148,0,526.2127997,526.2127997,0,589.7206385,589.7206385,
24244,24244,acc,Araceae,Alocasia cucullata (Lour.) G. Don,GN,855,,GN,GN,GN,GN,GN,11,8,26,10035.90116,0,1881.904444,1881.904444,11917.80561,0,2082.990506,2082.990506,0,2598.880512,2598.880512,
