scode,sampname,lat,ns,long,ew,rectotal,spcount,GHI,BK,GD,BU,GN,horim_end,sum_WE,CWE,ocean,mainisl,smallisl,totalland,totalarea
489,horim489,37.75,n,138.125,e,31,31,0,0,0,0,30,0,0.061068,0.001969936,397.3481408,0,10.12925452,10.12925452,407.4773953
490,horim490,37.75,n,138.375,e,77,77,3,0,0,1,76,4,0.1415,0.001837662,389.298625,0,18.17877031,18.17877031,407.4773953
491,horim491,37.75,n,138.875,e,131,131,22,0,0,10,121,15,0.291803,0.002227504,97.97904801,309.4983473,0,309.4983473,407.4773953
492,horim492,37.75,n,139.125,e,106,106,20,0,0,7,96,13,0.213435,0.002013538,0,407.4773953,0,407.4773953,407.4773953
493,horim493,37.75,n,139.375,e,103,103,50,0,1,14,86,22,0.251787,0.002444534,0,407.4773953,0,407.4773953,407.4773953
494,horim494,37.75,n,139.625,e,112,112,104,0,6,19,81,31,0.672259,0.006002313,0,407.4773953,0,407.4773953,407.4773953
495,horim495,37.75,n,139.875,e,159,159,52,0,3,18,134,30,0.543973,0.003421214,0,407.4773953,0,407.4773953,407.4773953
496,horim496,37.75,n,140.125,e,107,107,133,1,4,23,71,35,1.844434,0.017237701,0,407.4773953,0,407.4773953,407.4773953
497,horim497,37.75,n,140.375,e,113,113,52,0,1,16,92,23,0.450032,0.003982584,0,407.4773953,0,407.4773953,407.4773953
498,horim498,37.75,n,140.625,e,129,129,30,0,0,13,114,18,0.288797,0.002238736,0,407.4773953,0,407.4773953,407.4773953
499,horim499,37.75,n,140.875,e,153,153,37,0,0,19,133,23,0.351574,0.002297869,8.96520652,398.5121888,0,398.5121888,407.4773953
500,horim500,37.75,n,141.125,e,86,86,35,0,1,7,77,11,0.19608,0.00228,394.7850468,12.69234859,0,12.69234859,407.4773953
501,horim501,37.583333,n,136.875,e,23,23,0,0,0,0,23,0,0.049642,0.002158348,408.0590747,0,0.318976463,0.318976463,408.3780511
502,horim502,37.583333,n,137.125,e,87,87,3,0,0,1,85,2,0.179579,0.002064126,403.2374935,5.1047898,0.035767881,5.14055768,408.3780511
503,horim503,37.583333,n,137.375,e,137,137,15,0,0,7,129,12,0.280771,0.002049423,385.6355442,22.7016364,0.040870536,22.74250693,408.3780511
504,horim504,37.583333,n,138.625,e,77,77,3,0,0,1,76,5,0.142848,0.001855169,359.668587,48.69413938,0.015324738,48.70946412,408.3780511
505,horim505,37.583333,n,138.875,e,30,30,10,0,0,1,29,3,0.051244,0.001708133,9.645283988,398.7327672,0,398.7327672,408.3780511
506,horim506,37.583333,n,139.125,e,22,22,28,0,0,2,19,3,0.037612,0.001709636,0,408.3780511,0,408.3780511,408.3780511
507,horim507,37.583333,n,139.375,e,17,17,52,0,0,3,14,4,0.036562,0.002150706,0,408.3780511,0,408.3780511,408.3780511
508,horim508,37.583333,n,139.625,e,94,94,67,0,2,15,76,22,0.270313,0.00287567,0,408.3780511,0,408.3780511,408.3780511
509,horim509,37.583333,n,139.875,e,132,132,27,0,0,12,119,17,0.301023,0.002280477,0,408.3780511,0,408.3780511,408.3780511
510,horim510,37.583333,n,140.125,e,137,137,52,0,1,20,111,27,0.547065,0.003993175,0,408.3780511,0,408.3780511,408.3780511
511,horim511,37.583333,n,140.375,e,68,68,65,0,2,8,54,13,0.325664,0.004789177,0,408.3780511,0,408.3780511,408.3780511
512,horim512,37.583333,n,140.625,e,128,128,54,0,2,17,107,29,0.375344,0.002932375,0,408.3780511,0,408.3780511,408.3780511
513,horim513,37.583333,n,140.875,e,173,173,41,0,2,18,153,29,0.40458,0.002338613,0,408.3780511,0,408.3780511,408.3780511
