tag,del,spnumber,taxstat,family,species,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,hybrid,spquick,star,star_geo,star_geod,star_geou,star_infa,star_infs,tdwgtotals,origin,kew_fam,apg_fam,apg_order,moss
"*"," ",23,"acc","Blechnaceae","Woodwardia orientalis Sw. var. formosana","Woodwardia","orientalis","Sw.","var.","formosana","","","",""," ","WOOORI","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Blechnaceae","","",""
"*"," ",24,"acc","Dryopteridaceae","Cyrtomium fortunei J. Sm. var. clivicola Makino","Cyrtomium","fortunei","J. Sm.","var.","clivicola","Makino","","",""," ","CYRFOR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",25,"acc","Dryopteridaceae","Cyrtomium fortunei J. Sm. var. intermedium","Cyrtomium","fortunei","J. Sm.","var.","intermedium","","","",""," ","CYRFOR1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",26,"acc","Dryopteridaceae","Cyrtomium fortunei J. Sm. var. atropunctatum Sa. Kurata","Cyrtomium","fortunei","J. Sm.","var.","atropunctatum","Sa. Kurata","","",""," ","CYRFOR2","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",27,"acc","Dryopteridaceae","Cyrtomium macrophyllum (Makino) Tagawa var. tukusicola Tagawa","Cyrtomium","macrophyllum","(Makino) Tagawa","var.","tukusicola","Tagawa","","",""," ","CYRMAC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",28,"acc","Dryopteridaceae","Cyrtomium macrophyllum (Makino) Tagawa var. microindusium Sa. Kurata","Cyrtomium","macrophyllum","(Makino) Tagawa","var.","microindusium","Sa. Kurata","","",""," ","CYRMAC1","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",29,"acc","Dryopteridaceae","Polystichum gracilipes C. Chr. var. gemmiferum","Polystichum","gracilipes","C. Chr.","var.","gemmiferum","","","",""," ","POLGRA","BK","BK","BK","BK","GD","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",30,"acc","Dryopteridaceae","Polystichum tsus-simense (Hook.) J. Sm. var. mayebarae Tagawa","Polystichum","tsus-simense","(Hook.) J. Sm.","var.","mayebarae","Tagawa","","",""," ","POLTSU","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",31,"acc","Dryopteridaceae","Polystichum ohmurae Sa. Kurata var. fujipedis","Polystichum","ohmurae","Sa. Kurata","var.","fujipedis","","","",""," ","POLOHM","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",32,"acc","Dryopteridaceae","Polystichum polyblepharum (Roem. ex Kunze) C. Presl var. scabiosum","Polystichum","polyblepharum","(Roem. ex Kunze) C. Presl","var.","scabiosum","","","",""," ","POLPOL","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",33,"acc","Dryopteridaceae","Polystichum fibrilloso-paleaceum (Kodama) Tagawa var. marginale","Polystichum","fibrilloso-paleaceum","(Kodama) Tagawa","var.","marginale","","","",""," ","POLFIB","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",34,"acc","Dryopteridaceae","Polystichum ovato-paleaceum (Kodama) Sa. Kurata var. coraiense H. Christ","Polystichum","ovato-paleaceum","(Kodama) Sa. Kurata","var.","coraiense","H. Christ","","",""," ","POLOVA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",35,"acc","Dryopteridaceae","Arachniodes amabilis (Blume) Tindale var. okinawensis Nakaike","Arachniodes","amabilis","(Blume) Tindale","var.","okinawensis","Nakaike","","",""," ","ARAAMA","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",36,"acc","Dryopteridaceae","Arachniodes amabilis (Blume) Tindale var. fimbriata","Arachniodes","amabilis","(Blume) Tindale","var.","fimbriata","","","",""," ","ARAAMA1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",37,"acc","Dryopteridaceae","Arachniodes simplicior (Makino) Ohwi var. major Tagawa","Arachniodes","simplicior","(Makino) Ohwi","var.","major","Tagawa","","",""," ","ARASIM","BU","BU","BU","BU","GN","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",38,"acc","Dryopteridaceae","Dryopteris gymnosora (Makino) C. Chr. var. angustata","Dryopteris","gymnosora","(Makino) C. Chr.","var.","angustata","","","",""," ","DRYGYM","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",39,"acc","Dryopteridaceae","Dryopteris simasakii (H. It{o^}) Sa. Kurata var. paleacea H. It{o^}","Dryopteris","simasakii","(H. It{o^}) Sa. Kurata","var.","paleacea","H. It{o^}","","",""," ","DRYSIM","GD","GD","GD","GD","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",40,"acc","Dryopteridaceae","Dryopteris insularis Kodama var. chichishimensis Nakai ex H. It{o^}","Dryopteris","insularis","Kodama","var.","chichishimensis","Nakai ex H. It{o^}","","",""," ","DRYINS","BK","BK","BK","BK","GD","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",41,"acc","Thelypteridaceae","Stegnogramma griffithii (T. Moore) K. Iwats. var. wilfordii Hook.","Stegnogramma","griffithii","(T. Moore) K. Iwats.","var.","wilfordii","Hook.","","",""," ","STEGRI","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",42,"acc","Thelypteridaceae","Thelypteris torresiana (Gaudich.) Alston var. calvata Baker","Thelypteris","torresiana","(Gaudich.) Alston","var.","calvata","Baker","","",""," ","THETOR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",43,"acc","Thelypteridaceae","Thelypteris esquirolii (H. Christ) Ching var. glabrata H. Christ","Thelypteris","esquirolii","(H. Christ) Ching","var.","glabrata","H. Christ","","",""," ","THEESQ","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",44,"acc","Thelypteridaceae","Thelypteris triphylla (Sw.) K. Iwats. var. parishii Bedd.","Thelypteris","triphylla","(Sw.) K. Iwats.","var.","parishii","Bedd.","","",""," ","THETRI","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",45,"acc","Woodsiaceae","Gymnocarpium oyamense (Baker) Ching var. kusamae","Gymnocarpium","oyamense","(Baker) Ching","var.","kusamae","","","",""," ","GYMOYA","BK","BK","BK","BK","GD","GD",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
"*"," ",46,"acc","Woodsiaceae","Athyrium yokoscense (Franch. et Sav.) H. Christ var. dilatatum","Athyrium","yokoscense","(Franch. et Sav.) H. Christ","var.","dilatatum","","","",""," ","ATHYOK","?!","?","?","?","?","?",0,"Flora of Japan Vol. I","Woodsiaceae","","",""
