tag,del,spnumber,taxstat,family,species,genus,sp1,author1,rank1,sp2,author2,rank2,sp3,author3,hybrid,spquick,star,star_geo,star_geod,star_geou,star_infa,star_infs,tdwgtotals,origin,kew_fam,apg_fam,apg_order,moss
"*"," ",3630,"acc","Dryopteridaceae","Arachniodes sasamotoi Sa. Kurata","Arachniodes","sasamotoi","Sa. Kurata","","","","","",""," ","ARASAS","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3631,"acc","Dryopteridaceae","Dryopteris sieboldii (Van Houtte ex Mett.) Kuntze","Dryopteris","sieboldii","(Van Houtte ex Mett.) Kuntze","","","","","",""," ","DRYSIE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3632,"acc","Dryopteridaceae","Dryopteris toyamae Tagawa","Dryopteris","toyamae","Tagawa","","","","","",""," ","DRYTOY","GD","GD","GD","GD","GD","GD",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3633,"acc","Dryopteridaceae","Dryopteris scottii (Bedd.) Ching","Dryopteris","scottii","(Bedd.) Ching","","","","","",""," ","DRYSCO1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3634,"acc","Dryopteridaceae","Dryopteris atrata (Wall. ex Kunze) Ching","Dryopteris","atrata","(Wall. ex Kunze) Ching","","","","","",""," ","DRYATR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3635,"acc","Dryopteridaceae","Dryopteris commixta Tagawa","Dryopteris","commixta","Tagawa","","","","","",""," ","DRYCOM","BU","BU","BU","BU","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3636,"acc","Dryopteridaceae","Dryopteris dickinsii (Franch. et Sav.) C. Chr.","Dryopteris","dickinsii","(Franch. et Sav.) C. Chr.","","","","","",""," ","DRYDIC1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3637,"acc","Dryopteridaceae","Dryopteris handeliana C. Chr.","Dryopteris","handeliana","C. Chr.","","","","","",""," ","DRYHAN","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3638,"acc","Dryopteridaceae","Dryopteris tsutsuiana Sa. Kurata","Dryopteris","tsutsuiana","Sa. Kurata","","","","","",""," ","DRYTSU","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3639,"acc","Dryopteridaceae","Dryopteris pycnopteroides (H. Christ) C. Chr.","Dryopteris","pycnopteroides","(H. Christ) C. Chr.","","","","","",""," ","DRYPYC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3640,"acc","Dryopteridaceae","Dryopteris namegatae (Sa. Kurata) Sa. Kurata","Dryopteris","namegatae","(Sa. Kurata) Sa. Kurata","","","","","",""," ","DRYNAM","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3641,"acc","Dryopteridaceae","Dryopteris lunanensis (H. Christ) C. Chr.","Dryopteris","lunanensis","(H. Christ) C. Chr.","","","","","",""," ","DRYLUN","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3642,"acc","Dryopteridaceae","Dryopteris tokyoensis (Matsum. ex Makino) C. Chr.","Dryopteris","tokyoensis","(Matsum. ex Makino) C. Chr.","","","","","",""," ","DRYTOK","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3643,"acc","Dryopteridaceae","Dryopteris polylepis (Franch. et Sav.) C. Chr.","Dryopteris","polylepis","(Franch. et Sav.) C. Chr.","","","","","",""," ","DRYPOL","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3644,"acc","Dryopteridaceae","Dryopteris monticola (Makino) C. Chr.","Dryopteris","monticola","(Makino) C. Chr.","","","","","",""," ","DRYMON","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3645,"acc","Dryopteridaceae","Dryopteris wallichiana (Spreng.) Hyl.","Dryopteris","wallichiana","(Spreng.) Hyl.","","","","","",""," ","DRYWAL","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3646,"acc","Dryopteridaceae","Dryopteris crassirhizoma Nakai","Dryopteris","crassirhizoma","Nakai","","","","","",""," ","DRYCRA1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3647,"acc","Dryopteridaceae","Dryopteris coreano-montana Nakai","Dryopteris","coreano-montana","Nakai","","","","","",""," ","DRYCOR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3648,"acc","Dryopteridaceae","Dryopteris uniformis (Makino) Makino","Dryopteris","uniformis","(Makino) Makino","","","","","",""," ","DRYUNI","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3649,"acc","Dryopteridaceae","Dryopteris lacera (Thunb.) Kuntze","Dryopteris","lacera","(Thunb.) Kuntze","","","","","",""," ","DRYLAC1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3650,"acc","Dryopteridaceae","Dryopteris sabaei (Franch. et Sav.) C. Chr.","Dryopteris","sabaei","(Franch. et Sav.) C. Chr.","","","","","",""," ","DRYSAB","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3651,"acc","Dryopteridaceae","Dryopteris sparsa (Buch.-Ham. ex D. Don) Kuntze","Dryopteris","sparsa","(Buch.-Ham. ex D. Don) Kuntze","","","","","",""," ","DRYSPA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3652,"acc","Dryopteridaceae","Dryopteris yakusilvicola Sa. Kurata","Dryopteris","yakusilvicola","Sa. Kurata","","","","","",""," ","DRYYAK","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3653,"acc","Dryopteridaceae","Dryopteris hayatae Tagawa","Dryopteris","hayatae","Tagawa","","","","","",""," ","DRYHAY","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3654,"acc","Dryopteridaceae","Dryopteris gymnophylla (Baker) C. Chr.","Dryopteris","gymnophylla","(Baker) C. Chr.","","","","","",""," ","DRYGYM1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3655,"acc","Dryopteridaceae","Dryopteris polita Rosenst.","Dryopteris","polita","Rosenst.","","","","","",""," ","DRYPOL1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3656,"acc","Dryopteridaceae","Dryopteris hasseltii (Blume) C. Chr.","Dryopteris","hasseltii","(Blume) C. Chr.","","","","","",""," ","DRYHAS","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3657,"acc","Dryopteridaceae","Dryopteris maximowiczii (Baker) Kuntze","Dryopteris","maximowiczii","(Baker) Kuntze","","","","","",""," ","DRYMAX","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3658,"acc","Dryopteridaceae","Dryopteris anadroma Mitsuta","Dryopteris","anadroma","Mitsuta","","","","","",""," ","DRYANA","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3659,"acc","Dryopteridaceae","Dryopteris shiroumensis Sa. Kurata et T. Nakam.","Dryopteris","shiroumensis","Sa. Kurata et T. Nakam.","","","","","",""," ","DRYSHI","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3660,"acc","Dryopteridaceae","Dryopteris expansa (C. Presl) Fraser-Jenk. et Jermy","Dryopteris","expansa","(C. Presl) Fraser-Jenk. et Jermy","","","","","",""," ","DRYEXP","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3661,"acc","Dryopteridaceae","Dryopteris amurensis (Milde) H. Christ","Dryopteris","amurensis","(Milde) H. Christ","","","","","",""," ","DRYAMU","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3662,"acc","Dryopteridaceae","Dryopteris laeta (Kom.) C. Chr.","Dryopteris","laeta","(Kom.) C. Chr.","","","","","",""," ","DRYLAE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3663,"acc","Dryopteridaceae","Dryopteris fragrans (L.) Schott","Dryopteris","fragrans","(L.) Schott","","","","","",""," ","DRYFRA1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3664,"acc","Dryopteridaceae","Dryopteris chinensis (Baker) Koidz.","Dryopteris","chinensis","(Baker) Koidz.","","","","","",""," ","DRYCHI","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3665,"acc","Dryopteridaceae","Dryopteris sordidipes Tagawa","Dryopteris","sordidipes","Tagawa","","","","","",""," ","DRYSOR","BU","BU","BU","BU","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3666,"acc","Dryopteridaceae","Dryopteris hadanoi Sa. Kurata","Dryopteris","hadanoi","Sa. Kurata","","","","","",""," ","DRYHAD","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3667,"acc","Dryopteridaceae","Dryopteris championi (Benth.) C. Chr. ex Ching","Dryopteris","championi","(Benth.) C. Chr. ex Ching","","","","","",""," ","DRYCHA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3668,"acc","Dryopteridaceae","Dryopteris kinkiensis Koidz. ex Tagawa","Dryopteris","kinkiensis","Koidz. ex Tagawa","","","","","",""," ","DRYKIN","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3669,"acc","Dryopteridaceae","Dryopteris decipiens (Hook.) Kuntze","Dryopteris","decipiens","(Hook.) Kuntze","","","","","",""," ","DRYDEC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3670,"acc","Dryopteridaceae","Dryopteris fuscipes C. Chr.","Dryopteris","fuscipes","C. Chr.","","","","","",""," ","DRYFUS","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3671,"acc","Dryopteridaceae","Dryopteris gymnosora (Makino) C. Chr.","Dryopteris","gymnosora","(Makino) C. Chr.","","","","","",""," ","DRYGYM2","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3672,"acc","Dryopteridaceae","Dryopteris indusiata (Makino) Makino et Yamam. ex Yamam.","Dryopteris","indusiata","(Makino) Makino et Yamam. ex Yamam.","","","","","",""," ","DRYIND3","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3673,"acc","Dryopteridaceae","Dryopteris simasakii (H. It{o^}) Sa. Kurata","Dryopteris","simasakii","(H. It{o^}) Sa. Kurata","","","","","",""," ","DRYSIM1","BU","BU","BU","BU","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3674,"acc","Dryopteridaceae","Dryopteris ryo-itoana Sa. Kurata","Dryopteris","ryo-itoana","Sa. Kurata","","","","","",""," ","DRYRYO","BU","BU","BU","BU","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3675,"acc","Dryopteridaceae","Dryopteris tsugiwoi Sa. Kurata","Dryopteris","tsugiwoi","Sa. Kurata","","","","","",""," ","DRYTSU1","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3676,"acc","Dryopteridaceae","Dryopteris formosana (H. Christ) C. Chr.","Dryopteris","formosana","(H. Christ) C. Chr.","","","","","",""," ","DRYFOR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3677,"acc","Dryopteridaceae","Dryopteris varia (L.) Kuntze","Dryopteris","varia","(L.) Kuntze","","","","","",""," ","DRYVAR5","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3678,"acc","Dryopteridaceae","Dryopteris bissetiana (Baker) C. Chr.","Dryopteris","bissetiana","(Baker) C. Chr.","","","","","",""," ","DRYBIS","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3679,"acc","Dryopteridaceae","Dryopteris sacrosancta Koidz.","Dryopteris","sacrosancta","Koidz.","","","","","",""," ","DRYSAC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3680,"acc","Dryopteridaceae","Dryopteris pacifica (Nakai) Tagawa","Dryopteris","pacifica","(Nakai) Tagawa","","","","","",""," ","DRYPAC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3681,"acc","Dryopteridaceae","Dryopteris shibipedis Sa. Kurata","Dryopteris","shibipedis","Sa. Kurata","","","","","",""," ","DRYSHI1","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3682,"acc","Dryopteridaceae","Dryopteris insularis Kodama","Dryopteris","insularis","Kodama","","","","","",""," ","DRYINS1","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3683,"acc","Dryopteridaceae","Dryopteris saxifraga H. It{o^}","Dryopteris","saxifraga","H. It{o^}","","","","","",""," ","DRYSAX","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3684,"acc","Dryopteridaceae","Dryopteris erythrosora (D. C. Eaton) Kuntze","Dryopteris","erythrosora","(D. C. Eaton) Kuntze","","","","","",""," ","DRYERY4","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3685,"acc","Dryopteridaceae","Dryopteris nipponensis Koidz.","Dryopteris","nipponensis","Koidz.","","","","","",""," ","DRYNIP1","BU","BU","BU","BU","BU","BU",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3686,"acc","Dryopteridaceae","Dryopteris koidzumiana Tagawa","Dryopteris","koidzumiana","Tagawa","","","","","",""," ","DRYKOI","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3687,"acc","Dryopteridaceae","Dryopteris caudipinna Nakai","Dryopteris","caudipinna","Nakai","","","","","",""," ","DRYCAU","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3688,"acc","Dryopteridaceae","Dryopteris hondoensis Koidz.","Dryopteris","hondoensis","Koidz.","","","","","",""," ","DRYHON","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3689,"acc","Dryopteridaceae","Dryopteris purpurella Tagawa","Dryopteris","purpurella","Tagawa","","","","","",""," ","DRYPUR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3690,"acc","Dryopteridaceae","Dryopteris shikokiana (Makino) C. Chr.","Dryopteris","shikokiana","(Makino) C. Chr.","","","","","",""," ","DRYSHI2","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3691,"acc","Dryopteridaceae","Dryopteris hendersonii (Bedd.) C. Chr.","Dryopteris","hendersonii","(Bedd.) C. Chr.","","","","","",""," ","DRYHEN","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3692,"acc","Dryopteridaceae","Dryopteris tetsu-yamanakae Sa. Kurata","Dryopteris","tetsu-yamanakae","Sa. Kurata","","","","","",""," ","DRYTET","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3693,"acc","Dryopteridaceae","Dryopteris haganecola Sa. Kurata","Dryopteris","haganecola","Sa. Kurata","","","","","",""," ","DRYHAG","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3694,"acc","Dryopteridaceae","Dryopteris pseudo-commixta Sa. Kurata","Dryopteris","pseudo-commixta","Sa. Kurata","","","","","",""," ","DRYPSE1","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3695,"acc","Dryopteridaceae","Dryopteris mayebarae Tagawa","Dryopteris","mayebarae","Tagawa","","","","","",""," ","DRYMAY","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3696,"acc","Dryopteridaceae","Dryopteris kousaii Akasawa.","Dryopteris","kousaii","Akasawa.","","","","","",""," ","DRYKOU","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3697,"acc","Dryopteridaceae","Dryopteris hakonecola Sa. Kurata","Dryopteris","hakonecola","Sa. Kurata","","","","","",""," ","DRYHAK","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3698,"acc","Dryopteridaceae","Dryopteris yuyamae Sa. Kurata","Dryopteris","yuyamae","Sa. Kurata","","","","","",""," ","DRYYUY","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3699,"acc","Dryopteridaceae","Dryopteris wakui Sa. Kurata","Dryopteris","wakui","Sa. Kurata","","","","","",""," ","DRYWAK","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3700,"acc","Dryopteridaceae","Dryopteris sugino-takaoi Sa. Kurata","Dryopteris","sugino-takaoi","Sa. Kurata","","","","","",""," ","DRYSUG","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3701,"acc","Dryopteridaceae","Dryopteris watanabei Sa. Kurata","Dryopteris","watanabei","Sa. Kurata","","","","","",""," ","DRYWAT","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3702,"acc","Dryopteridaceae","Dryopteris mituii Seriz.","Dryopteris","mituii","Seriz.","","","","","",""," ","DRYMIT","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3703,"acc","Dryopteridaceae","Dryopteris yamashitae Sa. Kurata","Dryopteris","yamashitae","Sa. Kurata","","","","","",""," ","DRYYAM","hyb","hyb","hyb","hyb","hyb","hyb",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3704,"acc","Dryopteridaceae","Ctenitis maximowicziana (Miq.) Ching","Ctenitis","maximowicziana","(Miq.) Ching","","","","","",""," ","CTEMAX","GN!","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3705,"acc","Dryopteridaceae","Ctenitis eatonii (Baker) Ching","Ctenitis","eatonii","(Baker) Ching","","","","","",""," ","CTEEAT1","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3706,"acc","Dryopteridaceae","Ctenitis iriomotensis (H. It{o^}) Nakaike","Ctenitis","iriomotensis","(H. It{o^}) Nakaike","","","","","",""," ","CTEIRI","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3707,"acc","Dryopteridaceae","Ctenitis microlepigera (Nakai) Ching","Ctenitis","microlepigera","(Nakai) Ching","","","","","",""," ","CTEMIC","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3708,"acc","Dryopteridaceae","Ctenitis lepigera (Baker) Tagawa","Ctenitis","lepigera","(Baker) Tagawa","","","","","",""," ","CTELEP","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3709,"acc","Dryopteridaceae","Ctenitis subglandulosa (Hance) Ching","Ctenitis","subglandulosa","(Hance) Ching","","","","","",""," ","CTESUB","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3710,"acc","Dryopteridaceae","Ctenitis sinii (Ching) Ohwi","Ctenitis","sinii","(Ching) Ohwi","","","","","",""," ","CTESIN","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3711,"acc","Dryopteridaceae","Tectaria kusukusensis (Hayata) Lellinger","Tectaria","kusukusensis","(Hayata) Lellinger","","","","","",""," ","TECKUS","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3712,"acc","Dryopteridaceae","Tectaria devexa (Kunze) Copel.","Tectaria","devexa","(Kunze) Copel.","","","","","",""," ","TECDEV","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3713,"acc","Dryopteridaceae","Tectaria phaeocaulis (Rosenst.) C. Chr.","Tectaria","phaeocaulis","(Rosenst.) C. Chr.","","","","","",""," ","TECPHA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3714,"acc","Dryopteridaceae","Tectaria subtriphylla (Hook. et Arn.) Copel.","Tectaria","subtriphylla","(Hook. et Arn.) Copel.","","","","","",""," ","TECSUB","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3715,"acc","Dryopteridaceae","Tectaria simonsii (Bedd.) Ching","Tectaria","simonsii","(Bedd.) Ching","","","","","",""," ","TECSIM","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3716,"acc","Dryopteridaceae","Tectaria decurrens (C. Presl) Copel.","Tectaria","decurrens","(C. Presl) Copel.","","","","","",""," ","TECDEC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3717,"acc","Dryopteridaceae","Tectaria fauriei Tagawa","Tectaria","fauriei","Tagawa","","","","","",""," ","TECFAU","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3718,"acc","Dryopteridaceae","Hemigramma decurrens (Hook.) Copel.","Hemigramma","decurrens","(Hook.) Copel.","","","","","",""," ","HEMDEC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Dryopteridaceae","","",""
"*"," ",3719,"acc","Thelypteridaceae","Stegnogramma griffithii (T. Moore) K. Iwats.","Stegnogramma","griffithii","(T. Moore) K. Iwats.","","","","","",""," ","STEGRI1","?!","?","?","?","?","?",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3720,"acc","Thelypteridaceae","Stegnogramma gymnocarpa (Copel.) K. Iwats.","Stegnogramma","gymnocarpa","(Copel.) K. Iwats.","","","","","",""," ","STEGYM","BK","BK","BK","BK","BK","BK",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3721,"acc","Thelypteridaceae","Stegnogramma pozoi (Lag.) K. Iwats.","Stegnogramma","pozoi","(Lag.) K. Iwats.","","","","","",""," ","STEPOZ","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3722,"acc","Thelypteridaceae","Thelypteris phegopteris (L.) Sloss.","Thelypteris","phegopteris","(L.) Sloss.","","","","","",""," ","THEPHE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3723,"acc","Thelypteridaceae","Thelypteris decursive-pinnata (H. C. Hall) Ching","Thelypteris","decursive-pinnata","(H. C. Hall) Ching","","","","","",""," ","THEDEC","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3724,"acc","Thelypteridaceae","Thelypteris subaurita (Tagawa) Ching","Thelypteris","subaurita","(Tagawa) Ching","","","","","",""," ","THESUB","GD","GD","GD","GD","GD","GD",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3725,"acc","Thelypteridaceae","Thelypteris aurita (Hook.) Ching","Thelypteris","aurita","(Hook.) Ching","","","","","",""," ","THEAUR","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3726,"acc","Thelypteridaceae","Thelypteris bukoensis (Tagawa) Ching","Thelypteris","bukoensis","(Tagawa) Ching","","","","","",""," ","THEBUK","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3727,"acc","Thelypteridaceae","Thelypteris omeiensis (Baker) Ching","Thelypteris","omeiensis","(Baker) Ching","","","","","",""," ","THEOME","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3728,"acc","Thelypteridaceae","Thelypteris flexilis (H. Christ) Ching","Thelypteris","flexilis","(H. Christ) Ching","","","","","",""," ","THEFLE","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3729,"acc","Thelypteridaceae","Thelypteris gracilescens (Blume) Ching","Thelypteris","gracilescens","(Blume) Ching","","","","","",""," ","THEGRA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3730,"acc","Thelypteridaceae","Thelypteris uraiensis (Rosenst.) Ching","Thelypteris","uraiensis","(Rosenst.) Ching","","","","","",""," ","THEURA","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3731,"acc","Thelypteridaceae","Thelypteris laxa (Franch. et Sav.) Ching","Thelypteris","laxa","(Franch. et Sav.) Ching","","","","","",""," ","THELAX","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
"*"," ",3732,"acc","Thelypteridaceae","Thelypteris hattorii (H. It{o^}) Tagawa","Thelypteris","hattorii","(H. It{o^}) Tagawa","","","","","",""," ","THEHAT","GN","GN","GN","GN","GN","GN",0,"Flora of Japan Vol. I","Thelypteridaceae","","",""
